Variable,Unknown Count,Unknown Percent
Dentist_Visit_Last_Year,0,0.0
Health_Insurance,0,0.0
Lung_Cancer_Suspected_Risk,0,0.0
Medical_Visit_Missed_Due_to_Cost,0,0.0
High_Financial_Stress_Burden,0,0.0
Sex,0,0.0
Has_Disability,0,0.0
Diabetic_History,0,0.0
Days_Poor_Mental_Health,"8,156",1.78
Age_Category,"8,310",1.82
Other_Tobacco_Usage,"30,657",6.7
Race,"9,103",1.99
Time_Since_Last_Check_Up,"5,334",1.17
Exercise_Outside_Work_Past_Month,0,0.0
Loneliness,"255,537",55.83
Health_Rating,"1,310",0.29
Annual_Income,"87,423",19.1
Days_Poor_Physical_Health,"11,067",2.42
Education,"2,363",0.52
Social_Emotional_Support,"257,046",56.16
General_Health_Personal_Rating,"1,310",0.29
Life_Satisfaction,"255,712",55.87
Marital_Status,"4,222",0.92
E_Cig_User,0,0.0
