Variable,Value,Count,Percent
Dentist_Visit_Last_Year,1.0,"311,259",68.01
Dentist_Visit_Last_Year,0.0,"140,705",30.74
Dentist_Visit_Last_Year,,"5,706",1.25
Health_Insurance,1.0,"413,720",90.4
Health_Insurance,0.0,"25,406",5.55
Health_Insurance,,"18,544",4.05
Lung_Cancer_Suspected_Risk,,"285,111",62.3
Lung_Cancer_Suspected_Risk,0.0,"133,104",29.08
Lung_Cancer_Suspected_Risk,1.0,"39,455",8.62
Medical_Visit_Missed_Due_to_Cost,0.0,"412,634",90.16
Medical_Visit_Missed_Due_to_Cost,1.0,"43,363",9.47
Medical_Visit_Missed_Due_to_Cost,,"1,673",0.37
High_Financial_Stress_Burden,,"256,223",55.98
High_Financial_Stress_Burden,0.0,"182,709",39.92
High_Financial_Stress_Burden,1.0,"18,738",4.09
Sex,Female,"240,183",52.48
Sex,Male,"217,487",47.52
Has_Disability,0.0,"293,295",64.08
Has_Disability,1.0,"140,484",30.7
Has_Disability,,"23,891",5.22
Diabetic_History,,"225,123",49.19
Diabetic_History,0.0,"129,995",28.4
Diabetic_History,1.0,"102,552",22.41
Days_Poor_Mental_Health,0_Days,"269,909",58.97
Days_Poor_Mental_Health,1-13_Days,"117,290",25.63
Days_Poor_Mental_Health,14+_Days,"62,315",13.62
Days_Poor_Mental_Health,Unknown,"8,156",1.78
Age_Category,Elderly,"214,421",46.85
Age_Category,Middle_Aged,"126,501",27.64
Age_Category,Young_Adult,"108,438",23.69
Age_Category,Unknown,"8,310",1.82
Other_Tobacco_Usage,Not at all,"414,356",90.54
Other_Tobacco_Usage,Unknown,"30,657",6.7
Other_Tobacco_Usage,Every Day,"7,367",1.61
Other_Tobacco_Usage,Some days,"5,290",1.16
Race,White,"329,346",71.96
Race,Hispanic,"48,646",10.63
Race,Black,"35,172",7.69
Race,Asian,"12,646",2.76
Race,Multiracial,"10,486",2.29
Race,Unknown,"9,103",1.99
Race,American Indian or Alaskan Native,"6,460",1.41
Race,Other Race,"3,737",0.82
Race,Native Hawaiian or other Pacific Islander,"2,074",0.45
Time_Since_Last_Check_Up,Within_the_last_year,"370,023",80.85
Time_Since_Last_Check_Up,Within_the_past_two_years,"39,655",8.66
Time_Since_Last_Check_Up,Within_the_past_five_years,"21,480",4.69
Time_Since_Last_Check_Up,Five_or_more_years_ago,"18,395",4.02
Time_Since_Last_Check_Up,Unknown,"5,334",1.17
Time_Since_Last_Check_Up,Never,"2,783",0.61
Exercise_Outside_Work_Past_Month,1.0,"350,061",76.49
Exercise_Outside_Work_Past_Month,0.0,"106,294",23.23
Exercise_Outside_Work_Past_Month,,"1,315",0.29
Loneliness,Unknown,"255,537",55.83
Loneliness,Never,"76,943",16.81
Loneliness,Rarely,"65,222",14.25
Loneliness,Sometimes,"47,449",10.37
Loneliness,Usually,"7,455",1.63
Loneliness,Always,"5,064",1.11
Health_Rating,Good_or_Better_Health,"366,237",80.02
Health_Rating,Fair_or_Poor_Health,"90,123",19.69
Health_Rating,Unknown,"1,310",0.29
Annual_Income,Unknown,"87,423",19.1
Annual_Income,"Less_than_$75,000","60,709",13.26
Annual_Income,"Less_than_$150,000","55,778",12.19
Annual_Income,"Less_than_$100,000","51,700",11.3
Annual_Income,"Less_than_$50,000","49,686",10.86
Annual_Income,"Less_than_$35,000","41,702",9.11
Annual_Income,"$200,000+","29,694",6.49
Annual_Income,"Less_than_$200,000","26,675",5.83
Annual_Income,"Less_than_$25,000","19,841",4.34
Annual_Income,"Less_than_$20,000","13,662",2.99
Annual_Income,"Less_than_$15,000","10,542",2.3
Annual_Income,"Less_than_$10,000","10,258",2.24
Days_Poor_Physical_Health,0_Days,"267,576",58.46
Days_Poor_Physical_Health,1-13_Days,"115,200",25.17
Days_Poor_Physical_Health,14+_Days,"63,827",13.95
Days_Poor_Physical_Health,Unknown,"11,067",2.42
Education,College_4_years_or_more_(college_graduate),"191,549",41.85
Education,College_1-3_years_(some_college_or_technical_school,"120,732",26.38
Education,Grade_12_or_GED_(high_school_graduate,"115,877",25.32
Education,Grades_9-11_(some_high_school),"17,200",3.76
Education,Grades_1-8_(elementary),"9,226",2.02
Education,Unknown,"2,363",0.52
Education,Never_attended_school_or_only_Kindergarten,723,0.16
Social_Emotional_Support,Unknown,"257,046",56.16
Social_Emotional_Support,Always,"96,541",21.09
Social_Emotional_Support,Usually,"59,933",13.1
Social_Emotional_Support,Sometimes,"27,111",5.92
Social_Emotional_Support,Rarely,"8,670",1.89
Social_Emotional_Support,Never,"8,369",1.83
General_Health_Personal_Rating,Good,"156,229",34.14
General_Health_Personal_Rating,Very_good,"145,791",31.86
General_Health_Personal_Rating,Fair,"67,919",14.84
General_Health_Personal_Rating,Excellent,"64,217",14.03
General_Health_Personal_Rating,Poor,"22,204",4.85
General_Health_Personal_Rating,Unknown,"1,310",0.29
Life_Satisfaction,Unknown,"255,712",55.87
Life_Satisfaction,Satisfied,"100,151",21.88
Life_Satisfaction,Very_satisfied,"90,530",19.78
Life_Satisfaction,Dissatisfied,"8,832",1.93
Life_Satisfaction,Very_dissatified,"2,445",0.53
Marital_Status,Married,"229,393",50.12
Marital_Status,Never_Married,"84,851",18.54
Marital_Status,Divorced,"58,827",12.85
Marital_Status,Widowed,"49,161",10.74
Marital_Status,Member_of_unmarried_couple,"21,754",4.75
Marital_Status,Separated,"9,462",2.07
Marital_Status,Unknown,"4,222",0.92
E_Cig_User,0.0,"400,413",87.49
E_Cig_User,,"32,751",7.16
E_Cig_User,1.0,"24,506",5.35
