Variable,Missing Count,Missing Percent
Dentist_Visit_Last_Year,"5,706",1.25
Health_Insurance,"18,544",4.05
Lung_Cancer_Suspected_Risk,"285,111",62.3
Medical_Visit_Missed_Due_to_Cost,"1,673",0.37
High_Financial_Stress_Burden,"256,223",55.98
Sex,0,0.0
Has_Disability,"23,891",5.22
Diabetic_History,"225,123",49.19
Days_Poor_Mental_Health,0,0.0
Age_Category,0,0.0
Other_Tobacco_Usage,0,0.0
Race,0,0.0
Time_Since_Last_Check_Up,0,0.0
Exercise_Outside_Work_Past_Month,"1,315",0.29
Loneliness,0,0.0
Health_Rating,0,0.0
Annual_Income,0,0.0
Days_Poor_Physical_Health,0,0.0
Education,0,0.0
Social_Emotional_Support,0,0.0
General_Health_Personal_Rating,0,0.0
Life_Satisfaction,0,0.0
Marital_Status,0,0.0
E_Cig_User,"32,751",7.16
